=== test_sub1  (test_acc=41.73%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   32      0.0603     99.99%    0.0235    99.05%
   33      0.0599     99.99%    0.0314    98.56%
   34      0.0602     99.98%    0.0178    99.15%
   35      0.0592     99.98%    0.0258    99.05%
   36      0.0590    100.00%    0.0172    99.33%
   37      0.0591    100.00%    0.0265    99.14%
   38      0.0590     99.98%    0.0178    99.32%
   39      0.0584    100.00%    0.0192    99.26%
   40      0.0587     99.99%    0.0166    99.33%
   41      0.0587     99.99%    0.0127    99.53%
   42      0.0580    100.00%    0.0149    99.48%
   43      0.0581    100.00%    0.0204    99.23%
   44      0.0579    100.00%    0.0188    99.26%
   45      0.0579    100.00%    0.0152    99.44%
   46      0.0575    100.00%    0.0117    99.62%
   47      0.0580    100.00%    0.0182    99.28%
   48      0.0577    100.00%    0.0193    99.28%
   49      0.0577    100.00%    0.0170    99.33%
   50      0.0576    100.00%    0.0171    99.33%

=== test_sub4  (test_acc=70.67%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.5094     82.96%    0.1756    94.01%
    2      0.2059     95.47%    0.0781    97.50%
    3      0.1304     98.28%    0.0379    98.67%
    4      0.1146     98.52%    0.0194    99.82%
    5      0.1047     98.83%    0.0249    99.06%
    6      0.1026     98.84%    0.0293    98.92%
    7      0.0860     99.45%    0.0113    99.75%
    8      0.0810     99.66%    0.0088    99.75%
    9      0.0797     99.68%    0.0244    99.19%
   10      0.0874     99.31%    0.0134    99.80%
   11      0.0810     99.57%    0.0444    98.07%
   12      0.0781     99.68%    0.0016   100.00%
   13      0.0729     99.79%    0.0079    99.78%
   14      0.0719     99.86%    0.0091    99.66%
   15      0.0740     99.77%    0.0043    99.96%
   16      0.0756     99.68%    0.0198    99.14%
   17      0.0782     99.55%    0.0052    99.93%
   18      0.0683     99.92%    0.0145    99.64%
   19      0.0692     99.85%    0.0042    99.98%
   20      0.0684     99.92%    0.0037    99.91%
   21      0.0652     99.96%    0.0035    99.95%
   22      0.0652     99.96%    0.0023   100.00%
   23      0.0641     99.97%    0.0017   100.00%
   24      0.0638     99.96%    0.0039   100.00%
   25      0.0658     99.88%    0.0038   100.00%
   26      0.0638     99.94%    0.0070    99.77%
   27      0.0623     99.96%    0.0024   100.00%
   28      0.0610     99.99%    0.0020   100.00%
   29      0.0613     99.98%    0.0024   100.00%
   30      0.0605     99.98%    0.0026   100.00%
   31      0.0606     99.98%    0.0052    99.95%
   32      0.0600     99.99%    0.0015   100.00%
   33      0.0595    100.00%    0.0018   100.00%
   34      0.0589    100.00%    0.0018   100.00%
   35      0.0591     99.99%    0.0028    99.95%
   36      0.0601     99.96%    0.0018   100.00%
   37      0.0586    100.00%    0.0021   100.00%
   38      0.0583     99.99%    0.0024   100.00%
   39      0.0577    100.00%    0.0018   100.00%
   40      0.0581    100.00%    0.0016   100.00%
   41      0.0577    100.00%    0.0019   100.00%
   42      0.0579    100.00%    0.0022   100.00%
   43      0.0579     99.99%    0.0017   100.00%
   44      0.0578     99.99%    0.0017   100.00%
   45      0.0576    100.00%    0.0016   100.00%
   46      0.0573    100.00%    0.0025   100.00%
   47      0.0577    100.00%    0.0017   100.00%
   48      0.0578     99.97%    0.0019   100.00%
   49      0.0573    100.00%    0.0021   100.00%
   50      0.0574    100.00%    0.0016   100.00%

=== test_sub5  (test_acc=60.29%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.4971     83.12%    0.4658    79.45%
    2      0.1978     95.92%    0.7001    73.27%
    3      0.1337     98.16%    0.8536    73.58%
    4      0.1043     99.07%    0.9864    73.04%
    5      0.1064     98.83%    0.8154    75.36%
    6      0.0894     99.40%    1.0922    70.21%
    7      0.0997     98.92%    1.1274    72.05%
    8      0.0904     99.31%    1.3091    69.76%
    9      0.0810     99.59%    0.9907    72.48%
