=== test_sub1  (test_acc=78.54%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    3      0.0850     99.78%    0.0017   100.00%
    4      0.0775     99.88%    0.0007   100.00%
    5      0.0735     99.91%    0.0008   100.00%
    6      0.0805     99.69%    0.0009   100.00%
    7      0.0725     99.93%    0.0005   100.00%
    8      0.0709     99.94%    0.0002   100.00%
    9      0.0676     99.99%    0.0002   100.00%
   10      0.0685     99.98%    0.0003   100.00%
   11      0.0675    100.00%    0.0002   100.00%
   12      0.0667     99.99%    0.0002   100.00%
   13      0.0664     99.99%    0.0002   100.00%
   14      0.0662    100.00%    0.0002   100.00%
   15      0.0649    100.00%    0.0002   100.00%
   16      0.0651     99.99%    0.0002   100.00%
   17      0.0648    100.00%    0.0002   100.00%
   18      0.0646    100.00%    0.0002   100.00%
   19      0.0643    100.00%    0.0002   100.00%
   20      0.0649    100.00%    0.0002   100.00%

=== test_sub10  (test_acc=72.25%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3625     89.90%    0.0480    99.19%
    2      0.1100     99.33%    0.0052   100.00%
    3      0.0834     99.78%    0.0016   100.00%
    4      0.0784     99.83%    0.0011   100.00%
    5      0.0760     99.87%    0.0007   100.00%
    6      0.0748     99.88%    0.0006   100.00%
    7      0.0715     99.94%    0.0003   100.00%
    8      0.0698     99.98%    0.0003   100.00%
    9      0.0683     99.99%    0.0003   100.00%
   10      0.0677    100.00%    0.0002   100.00%
   11      0.0674    100.00%    0.0002   100.00%
   12      0.0667    100.00%    0.0003   100.00%
   13      0.0667     99.98%    0.0003   100.00%
   14      0.0659    100.00%    0.0002   100.00%
   15      0.0656     99.99%    0.0002   100.00%
   16      0.0650    100.00%    0.0002   100.00%
   17      0.0646    100.00%    0.0002   100.00%
   18      0.0642    100.00%    0.0002   100.00%
   19      0.0646    100.00%    0.0003   100.00%
   20      0.0646    100.00%    0.0002   100.00%

=== test_sub11  (test_acc=87.65%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3501     90.40%    0.0411    99.39%
    2      0.1096     99.28%    0.0061   100.00%
    3      0.0859     99.75%    0.0015   100.00%
    4      0.0769     99.90%    0.0010   100.00%
    5      0.0747     99.91%    0.0005   100.00%
    6      0.0719     99.96%    0.0004   100.00%
    7      0.0738     99.89%    0.0017   100.00%
    8      0.0723     99.91%    0.0003   100.00%
    9      0.0697     99.96%    0.0003   100.00%
   10      0.0702     99.92%    0.0003   100.00%
   11      0.0677     99.98%    0.0002   100.00%
   12      0.0669     99.98%    0.0002   100.00%
   13      0.0665     99.99%    0.0002   100.00%
   14      0.0657     99.98%    0.0002   100.00%
   15      0.0652    100.00%    0.0002   100.00%
   16      0.0645    100.00%    0.0002   100.00%
   17      0.0647    100.00%    0.0002   100.00%
   18      0.0649    100.00%    0.0002   100.00%
   19      0.0647    100.00%    0.0002   100.00%
