=== test_sub1  (test_acc=72.96%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   32      1.3881     99.99%    0.0002   100.00%
   33      1.3880    100.00%    0.0002   100.00%
   34      1.3879     99.99%    0.0002   100.00%
   35      1.3878    100.00%    0.0001   100.00%
   36      1.3878    100.00%    0.0001   100.00%
   37      1.3877    100.00%    0.0001   100.00%
   38      1.3877    100.00%    0.0001   100.00%
   39      1.3879    100.00%    0.0001   100.00%
   40      1.3877    100.00%    0.0001   100.00%
   41      1.3878     99.99%    0.0001   100.00%
   42      1.3879    100.00%    0.0001   100.00%
   43      1.3877    100.00%    0.0001   100.00%
   44      1.3877    100.00%    0.0001   100.00%
   45      1.3877    100.00%    0.0001   100.00%
   46      1.3876    100.00%    0.0001   100.00%
   47      1.3876     99.99%    0.0001   100.00%
   48      1.3877     99.99%    0.0001   100.00%
   49      1.3877     99.99%    0.0001   100.00%
   50      1.3876    100.00%    0.0001   100.00%

=== test_sub4  (test_acc=78.19%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0050     75.92%    0.3445    91.29%
    2      1.6677     91.67%    0.1738    97.73%
    3      1.5495     96.40%    0.0907    99.53%
    4      1.4928     98.54%    0.0491   100.00%
    5      1.4658     99.23%    0.0289   100.00%
    6      1.4423     99.61%    0.0184   100.00%
    7      1.4302     99.78%    0.0124   100.00%
    8      1.4209     99.79%    0.0082   100.00%
    9      1.4129     99.85%    0.0057   100.00%
   10      1.4071     99.86%    0.0040   100.00%
   11      1.4015     99.93%    0.0032   100.00%
   12      1.3993     99.92%    0.0024   100.00%
   13      1.3969     99.96%    0.0018   100.00%
   14      1.3950     99.96%    0.0015   100.00%
   15      1.3931     99.96%    0.0012   100.00%
   16      1.3927     99.96%    0.0012   100.00%
   17      1.3913     99.98%    0.0008   100.00%
   18      1.3907     99.97%    0.0008   100.00%
   19      1.3909     99.96%    0.0007   100.00%
   20      1.3903     99.98%    0.0005   100.00%
   21      1.3896     99.98%    0.0004   100.00%
   22      1.3895     99.99%    0.0004   100.00%
   23      1.3890     99.99%    0.0003   100.00%
   24      1.3892     99.99%    0.0003   100.00%
   25      1.3888     99.97%    0.0003   100.00%
   26      1.3885    100.00%    0.0002   100.00%
   27      1.3882    100.00%    0.0002   100.00%
   28      1.3882     99.99%    0.0002   100.00%
   29      1.3880    100.00%    0.0002   100.00%
   30      1.3877    100.00%    0.0002   100.00%
   31      1.3882     99.98%    0.0002   100.00%
   32      1.3879     99.99%    0.0002   100.00%
   33      1.3876    100.00%    0.0002   100.00%
   34      1.3874    100.00%    0.0002   100.00%
   35      1.3876    100.00%    0.0002   100.00%
   36      1.3873    100.00%    0.0001   100.00%
   37      1.3876     99.99%    0.0001   100.00%
   38      1.3875    100.00%    0.0001   100.00%
   39      1.3874    100.00%    0.0001   100.00%
   40      1.3873    100.00%    0.0001   100.00%
   41      1.3874    100.00%    0.0001   100.00%
   42      1.3873    100.00%    0.0001   100.00%
   43      1.3875    100.00%    0.0001   100.00%
   44      1.3873    100.00%    0.0001   100.00%
   45      1.3873    100.00%    0.0001   100.00%
   46      1.3873    100.00%    0.0001   100.00%
   47      1.3873    100.00%    0.0001   100.00%
   48      1.3874     99.99%    0.0001   100.00%
   49      1.3873    100.00%    0.0001   100.00%
   50      1.3872    100.00%    0.0001   100.00%

=== test_sub5  (test_acc=72.41%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0296     75.60%    0.3307    91.88%
    2      1.6711     92.06%    0.1671    97.88%
    3      1.5772     96.88%    0.0917    99.50%
    4      1.5005     98.67%    0.0501    99.98%
    5      1.4700     99.39%    0.0263   100.00%
    6      1.4468     99.69%    0.0173   100.00%
    7      1.4378     99.80%    0.0113   100.00%
    8      1.4288     99.85%    0.0090   100.00%
    9      1.4202     99.90%    0.0066   100.00%
   10      1.4130     99.91%    0.0047   100.00%
   11      1.4072     99.93%    0.0036   100.00%
   12      1.4021     99.98%    0.0029   100.00%
   13      1.3993     99.94%    0.0023   100.00%
   14      1.3959     99.98%    0.0020   100.00%
   15      1.3947     99.97%    0.0016   100.00%
   16      1.3931     99.96%    0.0012   100.00%
   17      1.3928     99.96%    0.0010   100.00%
